normalization,word_ngram,char_ngram,char_weight,location_boost,mode,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm
plain,unigram,2_to_2,0.0,0.0,cold,2500,0.2437133333333333,630,0.24148005128205124
plain,unigram,2_to_2,0.0,0.0,warm,2500,0.23767743589743587,623,0.24148005128205124
plain,unigram,2_to_2,0.0,0.1,cold,2500,0.41400666666666663,1054,0.41475093589743595
plain,unigram,2_to_2,0.0,0.1,warm,2500,0.41601820512820525,1078,0.41475093589743595
plain,unigram,2_to_2,0.0,0.2,cold,2500,0.4558199999999999,1158,0.46307626923076917
plain,unigram,2_to_2,0.0,0.2,warm,2500,0.47543153846153846,1221,0.46307626923076917
plain,unigram,2_to_2,0.0,0.3,cold,2500,0.4579,1163,0.4649466025641026
plain,unigram,2_to_2,0.0,0.3,warm,2500,0.4769448717948719,1224,0.4649466025641026
plain,unigram,2_to_2,0.0,0.4,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.4,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.5,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.5,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.56,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.56,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.6,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.6,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.7,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.7,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.8,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.8,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,0.9,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,0.9,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.0,1.0,cold,2500,0.4575,1162,0.46454660256410263
plain,unigram,2_to_2,0.0,1.0,warm,2500,0.47654487179487187,1223,0.46454660256410263
plain,unigram,2_to_2,0.1,0.0,cold,2500,0.25527999999999995,659,0.25613005128205124
plain,unigram,2_to_2,0.1,0.0,warm,2500,0.2575774358974359,674,0.25613005128205124
plain,unigram,2_to_2,0.1,0.1,cold,2500,0.41435999999999995,1056,0.41791105128205125
plain,unigram,2_to_2,0.1,0.1,warm,2500,0.4239574358974359,1095,0.41791105128205125
plain,unigram,2_to_2,0.1,0.2,cold,2500,0.49382,1253,0.49822110256410257
plain,unigram,2_to_2,0.1,0.2,warm,2500,0.5057148717948718,1296,0.49822110256410257
plain,unigram,2_to_2,0.1,0.3,cold,2500,0.5173,1313,0.5225264871794872
plain,unigram,2_to_2,0.1,0.3,warm,2500,0.5314256410256412,1359,0.5225264871794872
plain,unigram,2_to_2,0.1,0.4,cold,2500,0.5311,1348,0.5368814871794872
plain,unigram,2_to_2,0.1,0.4,warm,2500,0.5467256410256411,1397,0.5368814871794872
plain,unigram,2_to_2,0.1,0.5,cold,2500,0.5330600000000001,1353,0.5396554871794873
plain,unigram,2_to_2,0.1,0.5,warm,2500,0.5508856410256412,1407,0.5396554871794873
plain,unigram,2_to_2,0.1,0.56,cold,2500,0.53346,1354,0.5400554871794873
plain,unigram,2_to_2,0.1,0.56,warm,2500,0.5512856410256411,1408,0.5400554871794873
plain,unigram,2_to_2,0.1,0.6,cold,2500,0.53386,1355,0.5404554871794872
plain,unigram,2_to_2,0.1,0.6,warm,2500,0.5516856410256411,1409,0.5404554871794872
plain,unigram,2_to_2,0.1,0.7,cold,2500,0.53386,1355,0.5404554871794872
plain,unigram,2_to_2,0.1,0.7,warm,2500,0.5516856410256411,1409,0.5404554871794872
plain,unigram,2_to_2,0.1,0.8,cold,2500,0.53386,1355,0.5404554871794872
plain,unigram,2_to_2,0.1,0.8,warm,2500,0.5516856410256411,1409,0.5404554871794872
plain,unigram,2_to_2,0.1,0.9,cold,2500,0.53386,1355,0.5404554871794872
plain,unigram,2_to_2,0.1,0.9,warm,2500,0.5516856410256411,1409,0.5404554871794872
plain,unigram,2_to_2,0.1,1.0,cold,2500,0.53386,1355,0.5404554871794872
plain,unigram,2_to_2,0.1,1.0,warm,2500,0.5516856410256411,1409,0.5404554871794872
plain,unigram,2_to_2,0.2,0.0,cold,2500,0.24747999999999998,639,0.2528810512820513
plain,unigram,2_to_2,0.2,0.0,warm,2500,0.26207743589743593,685,0.2528810512820513
plain,unigram,2_to_2,0.2,0.1,cold,2500,0.3833266666666666,980,0.3884687179487179
plain,unigram,2_to_2,0.2,0.1,warm,2500,0.39722410256410257,1028,0.3884687179487179
plain,unigram,2_to_2,0.2,0.2,cold,2500,0.48240666666666676,1226,0.4870164871794873
plain,unigram,2_to_2,0.2,0.2,warm,2500,0.49486564102564107,1269,0.4870164871794873
plain,unigram,2_to_2,0.2,0.3,cold,2500,0.5149,1308,0.5228644871794872
plain,unigram,2_to_2,0.2,0.3,warm,2500,0.536425641025641,1372,0.5228644871794872
plain,unigram,2_to_2,0.2,0.4,cold,2500,0.52486,1333,0.5331574871794872
plain,unigram,2_to_2,0.2,0.4,warm,2500,0.5472856410256411,1398,0.5331574871794872
plain,unigram,2_to_2,0.2,0.5,cold,2500,0.52666,1337,0.5348834871794873
plain,unigram,2_to_2,0.2,0.5,warm,2500,0.5488856410256412,1402,0.5348834871794873
plain,unigram,2_to_2,0.2,0.56,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,0.56,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.2,0.6,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,0.6,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.2,0.7,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,0.7,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.2,0.8,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,0.8,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.2,0.9,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,0.9,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.2,1.0,cold,2500,0.5270600000000001,1338,0.5352834871794873
plain,unigram,2_to_2,0.2,1.0,warm,2500,0.5492856410256411,1403,0.5352834871794873
plain,unigram,2_to_2,0.3,0.0,cold,2500,0.23777999999999996,615,0.2443033846153846
plain,unigram,2_to_2,0.3,0.0,warm,2500,0.2554107692307692,665,0.2443033846153846
plain,unigram,2_to_2,0.3,0.1,cold,2500,0.3554266666666666,912,0.3637692179487179
plain,unigram,2_to_2,0.3,0.1,warm,2500,0.3779741025641025,979,0.3637692179487179
plain,unigram,2_to_2,0.3,0.2,cold,2500,0.45077333333333336,1148,0.4559514358974359
plain,unigram,2_to_2,0.3,0.2,warm,2500,0.46476820512820516,1193,0.4559514358974359
plain,unigram,2_to_2,0.3,0.3,cold,2500,0.5048666666666667,1285,0.5125484358974359
plain,unigram,2_to_2,0.3,0.3,warm,2500,0.5256282051282052,1346,0.5125484358974359
plain,unigram,2_to_2,0.3,0.4,cold,2500,0.51956,1321,0.5279571025641026
plain,unigram,2_to_2,0.3,0.4,warm,2500,0.5422548717948719,1385,0.5279571025641026
plain,unigram,2_to_2,0.3,0.5,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.5,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,0.56,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.56,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,0.6,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.6,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,0.7,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.7,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,0.8,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.8,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,0.9,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,0.9,warm,2500,0.5430548717948719,1387,0.5287571025641027
plain,unigram,2_to_2,0.3,1.0,cold,2500,0.52036,1323,0.5287571025641027
plain,unigram,2_to_2,0.3,1.0,warm,2500,0.5430548717948719,1387,0.5287571025641027
