normalization,word_ngram,document_variant,model,mode,queries,recall_at_50,queries_with_hit,benchmark_mix_63_cold_37_warm
plain,unigram,all_text,bm25,cold,2500,0.28952666666666665,740,0.2844073846153846
plain,unigram,all_text,bm25,warm,2500,0.27569076923076924,720,0.2844073846153846
plain,unigram,title,bm25,cold,2500,0.19871333333333333,516,0.20470638461538465
plain,unigram,title,bm25,warm,2500,0.21491076923076927,565,0.20470638461538465
plain,unigram,title_params,bm25,cold,2500,0.21211333333333332,549,0.2142213846153846
plain,unigram,title_params,bm25,warm,2500,0.21781076923076925,574,0.2142213846153846
plain,unigram_bigram,all_text,bm25,cold,2500,0.24830666666666665,635,0.24498805128205126
plain,unigram_bigram,all_text,bm25,warm,2500,0.2393374358974359,629,0.24498805128205126
plain,unigram_bigram,title,bm25,cold,2500,0.1966,509,0.20209971794871795
plain,unigram_bigram,title,bm25,warm,2500,0.21146410256410253,557,0.20209971794871795
plain,unigram_bigram,title_params,bm25,cold,2500,0.20134666666666667,520,0.20635305128205128
plain,unigram_bigram,title_params,bm25,warm,2500,0.2148774358974359,566,0.20635305128205128
plain,unigram_to_trigram,all_text,bm25,cold,2500,0.2203733333333333,564,0.2197803846153846
plain,unigram_to_trigram,all_text,bm25,warm,2500,0.2187707692307692,574,0.2197803846153846
plain,unigram_to_trigram,title,bm25,cold,2500,0.1954,505,0.20104771794871792
plain,unigram_to_trigram,title,bm25,warm,2500,0.21066410256410253,555,0.20104771794871792
plain,unigram_to_trigram,title_params,bm25,cold,2500,0.17507999999999999,452,0.18011105128205127
plain,unigram_to_trigram,title_params,bm25,warm,2500,0.18867743589743588,496,0.18011105128205127
russian_lemma,unigram,all_text,bm25,cold,2500,0.34107333333333334,869,0.3257420512820513
russian_lemma,unigram,all_text,bm25,warm,2500,0.2996374358974359,779,0.3257420512820513
russian_lemma,unigram,title,bm25,cold,2500,0.24134666666666668,623,0.24688338461538462
russian_lemma,unigram,title,bm25,warm,2500,0.25631076923076923,669,0.24688338461538462
russian_lemma,unigram,title_params,bm25,cold,2500,0.2490133333333333,642,0.24861771794871793
russian_lemma,unigram,title_params,bm25,warm,2500,0.24794410256410257,648,0.24861771794871793
russian_lemma,unigram_bigram,all_text,bm25,cold,2500,0.2961066666666667,755,0.287854717948718
russian_lemma,unigram_bigram,all_text,bm25,warm,2500,0.27380410256410254,713,0.287854717948718
russian_lemma,unigram_bigram,title,bm25,cold,2500,0.2339,605,0.23895571794871795
russian_lemma,unigram_bigram,title,bm25,warm,2500,0.24756410256410255,649,0.23895571794871795
russian_lemma,unigram_bigram,title_params,bm25,cold,2500,0.23224666666666666,603,0.23648838461538463
russian_lemma,unigram_bigram,title_params,bm25,warm,2500,0.24371076923076926,637,0.23648838461538463
russian_lemma,unigram_to_trigram,all_text,bm25,cold,2500,0.26354,675,0.25618838461538457
russian_lemma,unigram_to_trigram,all_text,bm25,warm,2500,0.2436707692307692,638,0.25618838461538457
russian_lemma,unigram_to_trigram,title,bm25,cold,2500,0.2319,598,0.23632671794871796
russian_lemma,unigram_to_trigram,title,bm25,warm,2500,0.24386410256410254,638,0.23632671794871796
russian_lemma,unigram_to_trigram,title_params,bm25,cold,2500,0.2037333333333333,529,0.2067293846153846
russian_lemma,unigram_to_trigram,title_params,bm25,warm,2500,0.21183076923076924,554,0.2067293846153846
russian_snowball,unigram,all_text,bm25,cold,2500,0.33863999999999994,862,0.32313605128205125
russian_snowball,unigram,all_text,bm25,warm,2500,0.2967374358974359,774,0.32313605128205125
russian_snowball,unigram,title,bm25,cold,2500,0.24379333333333333,631,0.24761571794871795
russian_snowball,unigram,title,bm25,warm,2500,0.25412410256410256,665,0.24761571794871795
russian_snowball,unigram,title_params,bm25,cold,2500,0.25278,652,0.25164438461538463
russian_snowball,unigram,title_params,bm25,warm,2500,0.2497107692307692,654,0.25164438461538463
russian_snowball,unigram_bigram,all_text,bm25,cold,2500,0.2923733333333334,746,0.28465171794871796
russian_snowball,unigram_bigram,all_text,bm25,warm,2500,0.27150410256410257,710,0.28465171794871796
russian_snowball,unigram_bigram,title,bm25,cold,2500,0.2347333333333333,607,0.23981371794871792
russian_snowball,unigram_bigram,title,bm25,warm,2500,0.24846410256410253,652,0.23981371794871792
russian_snowball,unigram_bigram,title_params,bm25,cold,2500,0.23321333333333333,603,0.23778805128205127
russian_snowball,unigram_bigram,title_params,bm25,warm,2500,0.24557743589743586,643,0.23778805128205127
russian_snowball,unigram_to_trigram,all_text,bm25,cold,2500,0.25897333333333333,663,0.25343471794871797
russian_snowball,unigram_to_trigram,all_text,bm25,warm,2500,0.24400410256410254,641,0.25343471794871797
russian_snowball,unigram_to_trigram,title,bm25,cold,2500,0.2337333333333333,603,0.2385177179487179
russian_snowball,unigram_to_trigram,title,bm25,warm,2500,0.24666410256410254,646,0.2385177179487179
russian_snowball,unigram_to_trigram,title_params,bm25,cold,2500,0.20319999999999996,525,0.20666471794871794
russian_snowball,unigram_to_trigram,title_params,bm25,warm,2500,0.21256410256410255,557,0.20666471794871794
plain,unigram,all_text,tfidf,cold,2500,0.22099333333333335,572,0.2199440512820513
plain,unigram,all_text,tfidf,warm,2500,0.2181574358974359,576,0.2199440512820513
plain,unigram,title,tfidf,cold,2500,0.18816666666666665,490,0.1959233846153846
plain,unigram,title,tfidf,warm,2500,0.20913076923076923,551,0.1959233846153846
plain,unigram,title_params,tfidf,cold,2500,0.20144666666666666,521,0.20320938461538463
plain,unigram,title_params,tfidf,warm,2500,0.20621076923076925,543,0.20320938461538463
plain,unigram_bigram,all_text,tfidf,cold,2500,0.20690666666666666,532,0.2086323846153846
plain,unigram_bigram,all_text,tfidf,warm,2500,0.2115707692307692,554,0.2086323846153846
plain,unigram_bigram,title,tfidf,cold,2500,0.1856,481,0.19222205128205128
plain,unigram_bigram,title,tfidf,warm,2500,0.20349743589743588,537,0.19222205128205128
plain,unigram_bigram,title_params,tfidf,cold,2500,0.1943133333333333,503,0.19887571794871794
plain,unigram_bigram,title_params,tfidf,warm,2500,0.20664410256410257,542,0.19887571794871794
plain,unigram_to_trigram,all_text,tfidf,cold,2500,0.19190666666666667,494,0.19211538461538463
plain,unigram_to_trigram,all_text,tfidf,warm,2500,0.19247076923076922,507,0.19211538461538463
plain,unigram_to_trigram,title,tfidf,cold,2500,0.18106666666666665,468,0.18717071794871792
plain,unigram_to_trigram,title,tfidf,warm,2500,0.19756410256410256,521,0.18717071794871792
plain,unigram_to_trigram,title_params,tfidf,cold,2500,0.16898,437,0.1730860512820513
plain,unigram_to_trigram,title_params,tfidf,warm,2500,0.18007743589743588,475,0.1730860512820513
russian_lemma,unigram,all_text,tfidf,cold,2500,0.26059333333333334,667,0.2532663846153846
russian_lemma,unigram,all_text,tfidf,warm,2500,0.24079076923076917,629,0.2532663846153846
russian_lemma,unigram,title,tfidf,cold,2500,0.22617999999999996,585,0.23224705128205125
russian_lemma,unigram,title,tfidf,warm,2500,0.24257743589743586,637,0.23224705128205125
russian_lemma,unigram,title_params,tfidf,cold,2500,0.23147999999999996,597,0.23253971794871792
russian_lemma,unigram,title_params,tfidf,warm,2500,0.23434410256410257,612,0.23253971794871792
russian_lemma,unigram_bigram,all_text,tfidf,cold,2500,0.24732666666666664,636,0.2448713846153846
russian_lemma,unigram_bigram,all_text,tfidf,warm,2500,0.24069076923076924,630,0.2448713846153846
russian_lemma,unigram_bigram,title,tfidf,cold,2500,0.2158,559,0.22123805128205126
russian_lemma,unigram_bigram,title,tfidf,warm,2500,0.23049743589743588,603,0.22123805128205126
russian_lemma,unigram_bigram,title_params,tfidf,cold,2500,0.2223333333333333,577,0.22626671794871792
russian_lemma,unigram_bigram,title_params,tfidf,warm,2500,0.23296410256410255,611,0.22626671794871792
russian_lemma,unigram_to_trigram,all_text,tfidf,cold,2500,0.23217333333333337,597,0.22894105128205128
russian_lemma,unigram_to_trigram,all_text,tfidf,warm,2500,0.2234374358974359,586,0.22894105128205128
russian_lemma,unigram_to_trigram,title,tfidf,cold,2500,0.21326666666666666,551,0.21781671794871793
russian_lemma,unigram_to_trigram,title,tfidf,warm,2500,0.22556410256410253,589,0.21781671794871793
russian_lemma,unigram_to_trigram,title_params,tfidf,cold,2500,0.1989,516,0.20104505128205127
russian_lemma,unigram_to_trigram,title_params,tfidf,warm,2500,0.2046974358974359,537,0.20104505128205127
russian_snowball,unigram,all_text,tfidf,cold,2500,0.26009333333333334,666,0.2516933846153846
russian_snowball,unigram,all_text,tfidf,warm,2500,0.23739076923076918,621,0.2516933846153846
russian_snowball,unigram,title,tfidf,cold,2500,0.22771333333333332,591,0.23249771794871793
russian_snowball,unigram,title,tfidf,warm,2500,0.24064410256410257,635,0.23249771794871793
russian_snowball,unigram,title_params,tfidf,cold,2500,0.23371333333333333,603,0.23466205128205128
russian_snowball,unigram,title_params,tfidf,warm,2500,0.2362774358974359,618,0.23466205128205128
russian_snowball,unigram_bigram,all_text,tfidf,cold,2500,0.24742666666666666,636,0.24403405128205125
